template_id,critical_metric,approved_proxy,if_both_missing
general_operating_company,revenue_or_revenue_per_share_growth,revenue_growth + share_count_trend,universal_gate.required_critical_metric_missing
general_operating_company,operating_profitability,ebit_margin_proxy,universal_gate.required_critical_metric_missing
general_operating_company,cash_conversion,cfo_margin / cfo_to_ebit_proxy,universal_gate.required_critical_metric_missing
cyclical_company,mid_cycle_earning_power,5y_normalized_ebit_or_fcf,universal_gate.required_critical_metric_missing
cyclical_company,downcycle_survivability,trough_coverage_proxy,universal_gate.required_critical_metric_missing
cyclical_company,balance_sheet_floor,p_to_b_or_replacement_cost_proxy,universal_gate.required_critical_metric_missing
commodity_energy_producer,reserve_life,reserve_proxy_from_filing,universal_gate.required_critical_metric_missing
commodity_energy_producer,unit_cash_cost,lifting_cost_proxy,universal_gate.required_critical_metric_missing
commodity_energy_producer,reserve_replacement,production_depletion_proxy,universal_gate.required_critical_metric_missing
software_saas,retention_metric,renewal_or_churn_proxy,universal_gate.required_critical_metric_missing
software_saas,gross_margin,subscription_gross_margin_proxy,universal_gate.required_critical_metric_missing
software_saas,fcf_or_rule_of_40,fcf_margin_proxy,universal_gate.required_critical_metric_missing
digital_platform_marketplace,gmv_or_core_volume,bookings_or_payment_volume_proxy,universal_gate.required_critical_metric_missing
digital_platform_marketplace,take_rate,revenue_over_gmv_proxy,universal_gate.required_critical_metric_missing
digital_platform_marketplace,contribution_margin_or_monetization,segment_contribution_proxy,universal_gate.required_critical_metric_missing
regulated_utility_infrastructure,regulated_asset_base,rate_base_equivalent_proxy,universal_gate.required_critical_metric_missing
regulated_utility_infrastructure,interest_coverage_or_dscr,ffo_to_debt_or_dscr_proxy,universal_gate.required_critical_metric_missing
regulated_utility_infrastructure,payout_sustainability,cash_payout_proxy,universal_gate.required_critical_metric_missing
bank,cet1_or_equivalent_capital_adequacy,total_capital_ratio_proxy,universal_gate.required_critical_metric_missing
bank,asset_quality,npl_coverage_or_cor_proxy,universal_gate.required_critical_metric_missing
bank,funding_liquidity,lcr_nsfr_ldr_proxy,universal_gate.required_critical_metric_missing
insurance,solvency_or_rbc,local_solvency_equivalent,universal_gate.required_critical_metric_missing
insurance,reserve_adequacy,reserve_proxy,universal_gate.required_critical_metric_missing
insurance,underwriting_metric,combined_or_loss_plus_expense_proxy,universal_gate.required_critical_metric_missing
brokerage_asset_manager,regulatory_capital,local_capital_soundness_proxy,universal_gate.required_critical_metric_missing
brokerage_asset_manager,revenue_mix,fee_mix_proxy,universal_gate.required_critical_metric_missing
brokerage_asset_manager,core_risk_metric,var_pf_credit_exposure_proxy,universal_gate.required_critical_metric_missing
reit_income_asset,affo_or_equivalent_recurring_cashflow,ffo_minus_recurring_capex_proxy,universal_gate.required_critical_metric_missing
reit_income_asset,payout_metric,payout_proxy,universal_gate.required_critical_metric_missing
reit_income_asset,ltv_or_dscr,debt_maturity_plus_dscr_proxy,universal_gate.required_critical_metric_missing
holding_company,nav_or_sotp_discount,lookthrough_nav_proxy,universal_gate.required_critical_metric_missing
holding_company,parent_leverage,double_leverage_proxy,universal_gate.required_critical_metric_missing
holding_company,upstream_dividend_capacity,dividend_dependence_proxy,universal_gate.required_critical_metric_missing
